animal_name;Class_Type;hair;feathers;eggs;milk;airborne;aquatic;predator;toothed;backbone;breathes;venomous;fins;legs;tail;domestic;catsize
mongoose;Mammal;1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;1
moth;Bug;1;0;1;0;1;0;0;0;0;1;0;0;6;0;0;0
newt;Amphibian;0;0;1;0;0;1;1;1;1;1;0;0;4;1;0;0
octopus;Invertebrate;0;0;1;0;0;1;1;0;0;0;0;0;8;0;0;1
opossum;Mammal;1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;0
oryx;Mammal;1;0;0;1;0;0;0;1;1;1;0;0;4;1;0;1
ostrich;Bird;0;1;1;0;0;0;0;0;1;1;0;0;2;1;0;1
parakeet;Bird;0;1;1;0;1;0;0;0;1;1;0;0;2;1;1;0
penguin;Bird;0;1;1;0;0;1;1;0;1;1;0;0;2;1;0;1
pheasant;Bird;0;1;1;0;1;0;0;0;1;1;0;0;2;1;0;0
pike;Fish;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;1
piranha;Fish;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;0
pitviper;Reptile;0;0;1;0;0;0;1;1;1;1;1;0;0;1;0;0
platypus;Mammal;1;0;1;1;0;1;1;0;1;1;0;0;4;1;0;1
polecat;Mammal;1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;1
pony;Mammal;1;0;0;1;0;0;0;1;1;1;0;0;4;1;1;1
porpoise;Mammal;0;0;0;1;0;1;1;1;1;1;0;1;0;1;0;1
puma;Mammal;1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;1
pussycat;Mammal;1;0;0;1;0;0;1;1;1;1;0;0;4;1;1;1
raccoon;Mammal;1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;1
reindeer;Mammal;1;0;0;1;0;0;0;1;1;1;0;0;4;1;1;1
rhea;Bird;0;1;1;0;0;0;1;0;1;1;0;0;2;1;0;1
scorpion;Invertebrate;0;0;0;0;0;0;1;0;0;1;1;0;8;1;0;0
seahorse;Fish;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;0
seal;Mammal;1;0;0;1;0;1;1;1;1;1;0;1;0;0;0;1
sealion;Mammal;1;0;0;1;0;1;1;1;1;1;0;1;2;1;0;1
seasnake;Reptile;0;0;0;0;0;1;1;1;1;0;1;0;0;1;0;0
seawasp;Invertebrate;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0
skimmer;Bird;0;1;1;0;1;1;1;0;1;1;0;0;2;1;0;0
skua;Bird;0;1;1;0;1;1;1;0;1;1;0;0;2;1;0;0
slowworm;Reptile;0;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0
slug;Invertebrate;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
sole;Fish;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;0
sparrow;Bird;0;1;1;0;1;0;0;0;1;1;0;0;2;1;0;0
squirrel;Mammal;1;0;0;1;0;0;0;1;1;1;0;0;2;1;0;0
starfish;Invertebrate;0;0;1;0;0;1;1;0;0;0;0;0;5;0;0;0
stingray;Fish;0;0;1;0;0;1;1;1;1;0;1;1;0;1;0;1
swan;Bird;0;1;1;0;1;1;0;0;1;1;0;0;2;1;0;1
termite;Bug;0;0;1;0;0;0;0;0;0;1;0;0;6;0;0;0
toad;Amphibian;0;0;1;0;0;1;0;1;1;1;0;0;4;0;0;0
tortoise;Reptile;0;0;1;0;0;0;0;0;1;1;0;0;4;1;0;1
tuatara;Reptile;0;0;1;0;0;0;1;1;1;1;0;0;4;1;0;0
tuna;Fish;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;1
vampire;Mammal;1;0;0;1;1;0;0;1;1;1;0;0;2;1;0;0
vole;Mammal;1;0;0;1;0;0;0;1;1;1;0;0;4;1;0;0
vulture;Bird;0;1;1;0;1;0;1;0;1;1;0;0;2;1;0;1
wallaby;Mammal;1;0;0;1;0;0;0;1;1;1;0;0;2;1;0;1
wasp;Bug;1;0;1;0;1;0;0;0;0;1;1;0;6;0;0;0
wolf;Mammal;1;0;0;1;0;0;1;1;1;1;0;0;4;1;0;1
worm;Invertebrate;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
wren;Bird;0;1;1;0;1;0;0;0;1;1;0;0;2;1;0;0
